Note classe A maths;Note classe A phys;Note classe B maths;Note classe B phys
9.26;14.01;11.06;10.89
10.49;17.16;11.36;12.23
7.55;15.24;13.16;9.95
9.56;16.31;15.5;12.74
12.7;8.95;12.45;11.47
9.28;12.01;13.6;9.17
10.53;13.03;12.68;11.32
12.18;16.39;14.56;11.02
7.36;13.17;10.42;11.95
6.06;16.68;15.43;10.92
10.61;11.69;10.28;11.4
10.03;4.99;13.35;12.88
7.23;13.95;14.22;9.52
11.78;9.48;11.74;11.43
10.72;11.29;14.74;9.49
9.01;11.14;12.39;10.73
9.94;14.84;13.0;10.82
9.64;17.14;12.0;9.88
8.84;5.07;14.11;12.04
7.63;16.48;13.58;10.97
8.28;14.96;14.61;11.15
10.85;14.73;12.54;12.5
12.16;13.81;15.11;9.66
10.87;15.99;13.65;10.82
3.31;13.36;14.38;10.6
11.71;15.22;13.2;11.12
10.9;11.54;10.11;10.53
10.73;11.51;17.71;10.19
9.9;16.76;13.71;12.64
13.88;10.13;13.25;12.61
